time,gps_time,latitude,longitude,depth,mag,id,place,type,channel,FS,startGPS,eventTime_GPS,SNR,mean_noise_level,integrated_signal_um,signal_duration,integrated_signal_um_per_s,peak_data_um,peak_data_um_mean_subtracted
12-Sep-2015 20:32:26,1126125164.99,-32.6066,-178.0287,8,5.9,us20003j2v,"153km SSE of L'Esperance Rock, New Zealand",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126123965,1126125165,37.929469732176,20.0060774734345,764.980896754542,2371,0.322640614405121,1.96049980509319,1.94049372761975
13-Sep-2015 07:57:33,1126166271.46,24.8094,-109.5138,10,5.6,us20003j4t,"99km SSW of Topolobampo, Mexico",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126165071,1126166271,41.8007031710328,623.084662910023,33906.1759573151,2958,11.462534130262,77.9647076968454,77.3416230339354
13-Sep-2015 08:14:08,1126167266.56,24.913,-109.6226,10,6.7,us20003j4u,"95km SW of Topolobampo, Mexico",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126166067,1126167267,31.8204582584711,2111.42359584913,33387.146049676,2959.25,11.2822999238577,77.9647076968456,75.8532841009965
16-Sep-2015 07:40:58,1126424476.69,1.8841,126.4288,41.55,6.3,us20003jwc,"146km ENE of Bitung, Indonesia",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126423277,1126424477,34.0382495991504,19.4728488899336,570.479667975549,2305.25,0.247469761620453,1.36720955759362,1.34773670870368
16-Sep-2015 14:03:22,1126447420.11,-6.0114,151.4768,6,6.1,us20003jyz,"156km ESE of Kimbe, Papua New Guinea",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126446220,1126447420,38.1410472057806,32.0245476915032,1238.47004069034,2380.5,0.520256265780439,3.28319284026282,3.25116829257132
16-Sep-2015 22:54:32,1126479290.86,-31.5729,-71.6744,22.44,8.3,us20003k7a,"48km W of Illapel, Chile",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126478091,1126479291,69.8649247147249,24.9435473348468,133858.341601262,2411.75,55.5025776308745,347.448700814266,347.423757266931
16-Sep-2015 22:59:15,1126479573,-31.618,-71.745,26.7,6.4,us20003k8b,"55km W of Illapel, Chile",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126478373,1126479573,23.8685978349556,4402.43577141961,178850.099861103,2411.25,74.1731881228008,349.980797674307,345.578361902888
16-Sep-2015 23:03:56,1126479854.56,-31.7502,-71.7425,19.1,6.1,us20003k7m,"56km WSW of Illapel, Chile",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126478655,1126479855,24.5026160351375,8326.14437446242,203971.595035507,2411.25,84.5916412796295,356.244313676326,347.918169301863
16-Sep-2015 23:09:06,1126480164.77,-31.1055,-71.405,37.8,5.6,us20003kdq,"59km SSW of Ovalle, Chile",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126478965,1126480165,26.071238689376,12379.927623352,209673.049645642,2412,86.9291250603821,356.244313676326,343.864386052974
16-Sep-2015 23:09:26,1126480184.17,-31.5743,-71.6717,35,5.7,us10003itv,"48km W of Illapel, Chile",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126478984,1126480184,26.0558863425294,12373.6940804146,210578.296500026,2410.25,87.367823462307,356.244313676326,343.870619595911
16-Sep-2015 23:16:09,1126480587.44,-31.6,-71.9189,35,6.1,us20003k83,"71km W of Illapel, Chile",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126479387,1126480587,25.4645679654552,12795.4958573266,225914.979020018,2410.75,93.7114918676836,356.244313676326,343.448817818999
16-Sep-2015 23:18:41,1126480739.85,-31.5622,-71.4262,28.41,7,us20003k7w,"25km WNW of Illapel, Chile",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126479540,1126480740,25.8976205169947,13202.6776098847,228881.556336261,2410.25,94.9617493356544,356.244313676327,343.041636066442
16-Sep-2015 23:23:25,1126481023.66,-31.1674,-71.772,32.1,5.7,us20003m3n,"77km NW of Illapel, Chile",earthquake,H1:ISI-GND_STS_ETMY_Z_DQ,4,1126479824,1126481024,24.7594321266025,13645.2911322312,236281.484200716,2413.25,97.9100732210571,356.244313676327,342.599022544095
